class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr04_pp_uranium,JOdr04_pp_uranium,JOdr04_bus_el,0.325,2000,,1,,,55000,0.5,,,,,,,,,
LinearTransformer,JOdr04_pp_hard_coal,GL_bus_hard_coal,JOdr04_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr04_pp_hard_coal,JOdr04_pp_hard_coal,JOdr04_bus_el,0.38,1E-16,,1,,,35000,4,,,,,,,,,
LinearTransformer,JOdr04_pp_gas,GL_bus_gas,JOdr04_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr04_pp_gas,JOdr04_pp_gas,JOdr04_bus_el,0.425,4046,,1,,,19000,2,,,,,,,,,
LinearTransformer,JOdr04_pp_oil,GL_bus_oil,JOdr04_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr04_pp_oil,JOdr04_pp_oil,JOdr04_bus_el,0.34,500,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,JOdr04_pp_biomass,GL_bus_biomass,JOdr04_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr04_pp_biomass,JOdr04_pp_biomass,JOdr04_bus_el,0.38,122,,1,8760,,29000,3.9,,,,,,,,,
Source,JOdr04_wind,JOdr04_wind,JOdr04_bus_el,,2727,,,,seq,,,True,,,,,,,,
Source,JOdr04_solar,JOdr04_solar,JOdr04_bus_el,,2272,,,,seq,,,True,,,,,,,,
Source,JOdr04_run_of_river,JOdr04_run_of_river,JOdr04_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,JOdr04_geothermal,JOdr04_geothermal,JOdr04_bus_el,,188,,,,0,,,,,,,,,,,
Storage,JOdr04_storage_phs,JOdr04_bus_el,JOdr04_storage_phs,,1E-16,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
Storage,JOdr04_storage_phs,JOdr04_storage_phs,JOdr04_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,JOdr04_load,JOdr04_bus_el,JOdr04_load,,2620,,,,seq,,,True,,,,,,,,
Source,JOdr04_hydroreservoir,JOdr04_hydroreservoir,JOdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,JOdr04_reservoir,JOdr04_bus_el,JOdr04_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,JOdr04_reservoir,JOdr04_reservoir,JOdr04_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Storage,JOdr04_storage_battery,JOdr04_bus_el,JOdr04_storage_battery,,99999,,1,,,,0.000000001,,1570,0,0.9,0.9,0.5,0,1,
Storage,JOdr04_storage_battery,JOdr04_storage_battery,JOdr04_bus_el,,99999,,1,,,,0.000000001,,,,,,,,,
Source,JOdr04_csp_direct,JOdr04_csp_direct,JOdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,JOdr04_csp,JOdr04_csp,JOdr04_bus_el,,2524,,1,,seq,,,True,,,,,,,,
Storage,JOdr04_cspstorage,JOdr04_bus_el,JOdr04_cspstorage,,2524,,1,,seq,,0.000000001,True,11358,0,1,0.95,1,0,1,
Storage,JOdr04_cspstorage,JOdr04_cspstorage,JOdr04_bus_el,,1262,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### SY - Electric neighbour Syria,,,,,,,,,,,,,,,,,,,,
