class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_biomass,MR_pp_biomass,MR_bus_el,0.38,1E-16,,0.85,,,1E-10,3.9,,,,,,,,,
Source,MR_wind,MR_wind,MR_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,MR_solar,MR_solar,MR_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,MR_run_of_river,MR_run_of_river,MR_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,MR_storage_phs,MR_bus_el,MR_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,MR_storage_phs,MR_storage_phs,MR_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,MR_load,MR_bus_el,MR_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### ES - Electric neighbour Spain,,,,,,,,,,,,,,,,,,,,
Sink,ES_excess,ES_bus_el,ES_excess,,,,,,,,0.00000001,,,,,,,,,
Source,ES_shortage,ES_shortage,ES_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,ES_pp_hard_coal_0,GL_bus_hard_coal,ES_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,ES_pp_hard_coal_0,ES_pp_hard_coal_0,ES_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,ES_pp_biomass,ES_pp_biomass,ES_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,ES_wind,ES_wind,ES_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,ES_solar,ES_solar,ES_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,ES_run_of_river,ES_run_of_river,ES_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,ES_storage_phs,ES_bus_el,ES_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,ES_storage_phs,ES_storage_phs,ES_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,ES_load,ES_bus_el,ES_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### PT - Portugal,,,,,,,,,,,,,,,,,,,,
Sink,PT_excess,PT_bus_el,PT_excess,,,,,,,,0.00000001,,,,,,,,,
Source,PT_shortage,PT_shortage,PT_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,PT_pp_hard_coal_0,GL_bus_hard_coal,PT_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,PT_pp_hard_coal_0,PT_pp_hard_coal_0,PT_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,PT_pp_biomass,PT_pp_biomass,PT_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,PT_wind,PT_wind,PT_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,PT_solar,PT_solar,PT_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,PT_run_of_river,PT_run_of_river,PT_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,PT_storage_phs,PT_bus_el,PT_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,PT_storage_phs,PT_storage_phs,PT_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,PT_load,PT_bus_el,PT_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,,,,
