class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,DZ_storage_phs,DZ_bus_el,DZ_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,DZ_storage_phs,DZ_storage_phs,DZ_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,DZ_load,DZ_bus_el,DZ_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### LY - Electric neighbour Libya,,,,,,,,,,,,,,,,,,,,
Sink,LY_excess,LY_bus_el,LY_excess,,,,,,,,0.00000001,,,,,,,,,
Source,LY_shortage,LY_shortage,LY_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,LY_pp_uranium,GL_bus_uranium,LY_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_uranium,LY_pp_uranium,LY_bus_el,0.325,1E-16,,0.85,,,1E-10,0.5,,,,,,,,,
LinearTransformer,LY_pp_lignite,GL_bus_lignite,LY_pp_lignite,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_lignite,LY_pp_lignite,LY_bus_el,0.38,1E-16,,0.85,,,1E-10,4.4,,,,,,,,,
LinearTransformer,LY_pp_hard_coal_0,GL_bus_hard_coal,LY_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_hard_coal_0,LY_pp_hard_coal_0,LY_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
LinearTransformer,LY_pp_gas,GL_bus_gas,LY_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_gas,LY_pp_gas,LY_bus_el,0.425,1E-16,,0.85,,,1E-10,2,,,,,,,,,
LinearTransformer,LY_pp_oil,GL_bus_oil,LY_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_oil,LY_pp_oil,LY_bus_el,0.34,1E-16,,0.85,,,1E-10,1.5,,,,,,,,,
LinearTransformer,LY_pp_mixed_fuels,GL_bus_mixed_fuels,LY_pp_mixed_fuels,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_mixed_fuels,LY_pp_mixed_fuels,LY_bus_el,0.26,1E-16,,0.85,,,1E-10,23,,,,,,,,,
LinearTransformer,LY_pp_biomass,GL_bus_biomass,LY_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,LY_pp_biomass,LY_pp_biomass,LY_bus_el,0.38,1E-16,,0.85,,,1E-10,3.9,,,,,,,,,
Source,LY_wind,LY_wind,LY_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,LY_solar,LY_solar,LY_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,LY_run_of_river,LY_run_of_river,LY_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,LY_storage_phs,LY_bus_el,LY_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,LY_storage_phs,LY_storage_phs,LY_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,LY_load,LY_bus_el,LY_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### IT - Electric neighbour Italy,,,,,,,,,,,,,,,,,,,,
Sink,IT_excess,IT_bus_el,IT_excess,,,,,,,,0.00000001,,,,,,,,,
Source,IT_shortage,IT_shortage,IT_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,IT_pp_hard_coal_0,GL_bus_hard_coal,IT_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,IT_pp_hard_coal_0,IT_pp_hard_coal_0,IT_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,IT_pp_biomass,IT_pp_biomass,IT_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,IT_wind,IT_wind,IT_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IT_solar,IT_solar,IT_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,IT_run_of_river,IT_run_of_river,IT_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,IT_storage_phs,IT_bus_el,IT_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,IT_storage_phs,IT_storage_phs,IT_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,IT_load,IT_bus_el,IT_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### FR - Electric neighbour France,,,,,,,,,,,,,,,,,,,,
Sink,FR_excess,FR_bus_el,FR_excess,,,,,,,,0.00000001,,,,,,,,,
Source,FR_shortage,FR_shortage,FR_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,FR_pp_hard_coal_0,GL_bus_hard_coal,FR_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,FR_pp_hard_coal_0,FR_pp_hard_coal_0,FR_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,FR_pp_biomass,FR_pp_biomass,FR_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Source,FR_wind,FR_wind,FR_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,FR_solar,FR_solar,FR_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,FR_run_of_river,FR_run_of_river,FR_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,FR_storage_phs,FR_bus_el,FR_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,FR_storage_phs,FR_storage_phs,FR_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,FR_load,FR_bus_el,FR_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr02_powerline,TNdr01_bus_el,TNdr01_TNdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr02_powerline,TNdr01_TNdr02_powerline,TNdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr01_powerline,TNdr02_bus_el,TNdr02_TNdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr01_powerline,TNdr02_TNdr01_powerline,TNdr01_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr03_powerline,TNdr01_bus_el,TNdr01_TNdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr03_powerline,TNdr01_TNdr03_powerline,TNdr03_bus_el,0.97,989,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr01_powerline,TNdr03_bus_el,TNdr03_TNdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr01_powerline,TNdr03_TNdr01_powerline,TNdr01_bus_el,0.97,989,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr04_powerline,TNdr01_bus_el,TNdr01_TNdr04_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_TNdr04_powerline,TNdr01_TNdr04_powerline,TNdr04_bus_el,0.97,989,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr01_powerline,TNdr04_bus_el,TNdr04_TNdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr01_powerline,TNdr04_TNdr01_powerline,TNdr01_bus_el,0.97,989,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr03_powerline,TNdr02_bus_el,TNdr02_TNdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr03_powerline,TNdr02_TNdr03_powerline,TNdr03_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr02_powerline,TNdr03_bus_el,TNdr03_TNdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr02_powerline,TNdr03_TNdr02_powerline,TNdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr04_powerline,TNdr02_bus_el,TNdr02_TNdr04_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_TNdr04_powerline,TNdr02_TNdr04_powerline,TNdr04_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr02_powerline,TNdr04_bus_el,TNdr04_TNdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr02_powerline,TNdr04_TNdr02_powerline,TNdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr04_powerline,TNdr03_bus_el,TNdr03_TNdr04_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_TNdr04_powerline,TNdr03_TNdr04_powerline,TNdr04_bus_el,0.97,7354,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr03_powerline,TNdr04_bus_el,TNdr04_TNdr03_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_TNdr03_powerline,TNdr04_TNdr03_powerline,TNdr03_bus_el,0.97,7354,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_DZ_powerline,TNdr01_bus_el,TNdr01_DZ_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_DZ_powerline,TNdr01_DZ_powerline,DZ_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,DZ_TNdr01_powerline,DZ_bus_el,DZ_TNdr01_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,DZ_TNdr01_powerline,DZ_TNdr01_powerline,TNdr01_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_DZ_powerline,TNdr02_bus_el,TNdr02_DZ_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_DZ_powerline,TNdr02_DZ_powerline,DZ_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,DZ_TNdr02_powerline,DZ_bus_el,DZ_TNdr02_powerline,,,,,,,,,,,,,,,,,
LinearTransformer,DZ_TNdr02_powerline,DZ_TNdr02_powerline,TNdr02_bus_el,0.97,1E-16,,,,,,,,,,,,,,,
LinearTransformer,TNdr02_LY_powerline,TNdr02_bus_el,TNdr02_LY_powerline,,,,,,,,,,,,,,,,,
